site;plot;id;Aeodes orbitosa;Amphiroa ephedraea;Arthrocardia filicula;Bifurcariopsis capensis;Botryocarpa prolifera;Botryoglossum binderianum;Botryoglossum platycarpum;Calliblepharis fimbriata;Carpoblephanis flaccida;Ceramium capense;Ceranium arenarium;Champia compressa;Cheilosporum sagittatum;Cladophora capensis;Cladophora flagelliformis;Codium stephensiae;Corallina officinalis;Epymenia obtusa;Gelidium abbottiorum;Gelidium capense;Gigartina bracteata;Hymenena venosa;Jania adhaerens;Jania verrucosa;Kallymenia agardhii;Neuroglossum binderianum;Pachymenia carnosa;Pachymenia cornea;Platyclinia sp.;Plocamium beckeri;Plocamium corallorhiza;Plocamium rigidum;Plocamium surhii;Polyopes constrictus;Portieria hornemanni;Pterosiphonia cloiphylla;Pterosiphonia stangerii;Rhodymenia capensis;Rhodymenia natalensis;Rhodymenia sp.;Sargassum incisifolium;Sponge;Stypocaulon funicular;Thamnophyllis discigera;Trematocarpus flabellatus;Trematocarpus fragilis;Ulva fasciata;Zonaria subarticulata
Bordjies;B1;Q1;0;7.25;0;24.5;0;0;0;0;0;0;0;0;0;0;0;2;0.45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0.65
Bordjies;B1;Q2;0;24.45;0;0;0;0;0;0;0;0;0;0;0;0;0;13.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bordjies;B1;Q3;0;3.95;2.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;1.4
Bordjies;B1;Q4;0;4.95;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.35;0.2;0.45;0;0;0;0;0;0.05;0;0;0;0;0.8
Bordjies;B1;Q5;0;0;0;2.8;0;0;0;0;0;0;0;0;0;0;0;1.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bordjies;B1;Q6;0;49.8;0;68.6;0;0;0;0;0;0;0;0.2;0;0;0;1.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;7.85
Bordjies;B1;Q7;0;50.95;0;15.1;0;0;0;0;0;0;0;0;0;0.05;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.95
Bordjies;B1;Q8;3.2;9.25;0;3.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.05;0;0;0;0;0;0;0.7;0;0;0;0;0;0;0.1;0;0;0;4.05;0;0.15;0;0;0;0;0
Bordjies;B2;Q9;0;1.8;0;30.25;0;0;0;0;0;0;0;0;0;0;0;5.4;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.45;0;0;0;0;0;0;0;0;0;0;3.1
Bordjies;B2;Q10;0;17.35;0;0;0;0;0;0;0;0;0;0;0;0;2.55;26.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.45;0;0;0;0;0;2.4;0;0;0;0;0;0;2.7
Bordjies;B2;Q11;0;4.6;0;66.6;0;0;0;0;0;0;0;1;2.4;0;0;1.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.25;0;0;0;0;0;0;3.45
